1,8979,381
2,5007,156
3,21901,651
4,307,22
5,2269,83
6,679,42
7,135,29
8,129,34
9,23,33
10,44,39
1,1063,40
2,2205,80
3,3704,122
4,3999,135
5,924,44
6,277,29
7,210,28
8,69,26
9,41,29
10,31,31
1,1553,54
2,6724,191
3,16641,491
4,1295,50
5,1529,61
6,1941,75
7,84,26
8,142,32
9,34,33
10,36,36
1,18020,555
2,273,15
3,169,14
4,1209,47
5,2875,97
6,2148,82
7,53,26
8,74,30
9,40,29
10,33,31
1,3190,99
2,12582,365
3,6890,196
4,141,18
5,423,29
6,62,21
7,70,24
8,125,29
9,27,27
10,46,32
1,1304,42
2,18470,529
3,2041,67
4,2812,90
5,1292,53
6,1799,71
7,85,26
8,49,27
9,35,29
10,23,30
1,7622,232
2,1314,46
3,1094,39
4,3055,98
5,1665,65
6,1611,68
7,381,33
8,50,26
9,43,29
10,28,33
1,1835,60
2,3676,119
3,4514,146
4,1980,71
5,1307,54
6,686,41
7,92,25
8,99,28
9,25,27
10,25,33
1,13258,393
2,2041,65
3,10511,302
4,3957,134
5,753,36
6,1101,51
7,53,26
8,48,28
9,32,31
10,25,31
1,9669,285
2,8914,252
3,22393,622
4,8226,245
5,2735,93
6,1820,73
7,243,31
8,82,29
9,42,31
10,31,34
1,5059,155
2,5814,176
3,3389,105
4,2363,85
5,2168,79
6,1020,49
7,81,25
8,102,30
9,38,30
10,40,34
1,604,23
2,5467,170
3,17636,494
4,291,21
5,1269,55
6,384,29
7,51,24
8,121,28
9,43,29
10,30,33
1,7277,220
2,7699,234
3,2315,78
4,2944,97
5,2239,84
6,285,30
7,319,34
8,46,28
9,29,28
10,27,32
1,3658,109
2,1624,53
3,1432,50
4,2704,88
5,3589,125
6,608,37
7,160,27
8,68,26
9,70,31
10,23,33
1,2094,67
2,22034,636
3,5310,159
4,362,23
5,1610,63
6,1499,64
7,80,23
8,92,28
9,47,28
10,32,47
1,2489,82
2,12699,356
3,675,30
4,1027,42
5,1198,48
6,1312,63
7,51,23
8,92,29
9,33,31
10,27,33
1,3503,103
2,14229,404
3,18389,517
4,224,18
5,1811,66
6,198,25
7,162,36
8,82,26
9,45,29
10,28,33
1,13709,401
2,6086,175
3,975,38
4,451,25
5,997,45
6,840,44
7,209,28
8,497,39
9,53,31
10,32,32
1,4404,130
2,2904,92
3,297,20
4,3087,101
5,578,42
6,97,22
7,186,28
8,34,27
