1,3358,129
2,1616,69
3,558,37
4,2981,104
5,5390,181
6,5399,205
7,1110,69
8,771,66
9,179,52
10,57,57
1,3869,142
2,9144,290
3,1022,43
4,9045,270
5,4965,160
6,874,55
7,1930,94
8,384,52
9,69,51
10,52,59
1,9523,308
2,3903,132
3,16667,487
4,936,47
5,1093,57
6,799,56
7,875,61
8,1530,87
9,96,48
10,77,52
1,3596,126
2,494,27
3,11977,353
4,3122,108
5,4669,160
6,5171,172
7,620,53
8,58,46
9,41,50
10,82,55
1,6048,206
2,2679,87
3,1903,70
4,2807,104
5,919,55
6,684,50
7,571,51
8,137,45
9,175,54
10,53,56
1,1576,60
2,12187,371
3,6059,188
4,5095,163
5,1736,73
6,1689,79
7,420,48
8,563,58
9,60,48
10,51,55
1,4145,143
2,3710,120
3,3482,113
4,1394,65
5,1963,89
6,2734,109
7,108,42
8,360,51
9,171,50
10,44,51
1,873,34
2,1326,52
3,784,39
4,1964,88
5,6945,220
6,1425,73
7,1597,80
8,519,56
9,97,52
10,68,56
1,2626,95
2,7549,232
3,3321,110
4,4615,152
5,1837,77
6,176,36
7,637,52
8,208,51
9,57,51
10,43,56
1,372,18
2,2058,74
3,6523,204
4,3953,133
5,4072,141
6,4292,148
7,471,48
8,425,56
9,137,52
10,71,53
1,1075,37
2,7549,246
3,7947,239
4,6317,215
5,2451,95
6,406,43
7,1296,73
8,408,55
9,87,51
10,37,52
1,2672,90
2,3287,114
3,3217,103
4,5251,167
5,2503,96
6,9220,292
7,724,57
8,300,48
9,66,47
10,34,54
1,1925,68
2,1952,70
3,1857,70
4,6433,200
5,9573,301
6,10796,337
7,4086,160
8,736,67
9,69,55
10,71,63
1,4214,138
2,13003,391
3,5120,160
4,3778,133
5,979,55
6,2633,103
7,133,40
8,1133,77
9,51,50
10,70,52
1,1022,39
2,2565,85
3,5667,181
4,4297,139
5,2909,107
6,2192,97
7,1495,78
8,565,61
9,83,52
10,41,54
1,2060,73
2,5929,186
3,12680,381
4,435,33
5,2832,103
6,3618,131
7,362,50
8,592,57
9,46,46
10,70,52
1,1769,63
2,2287,79
3,911,50
4,4242,142
5,3408,120
6,446,47
7,3051,130
8,97,44
9,55,54
10,38,54
1,1938,73
2,1553,67
3,2327,89
4,2905,104
5,650,48
6,218,39
7,88,39
8,3146,131
9,74,54
10,42,54
1,16593,508
2,8895,281
3,5315,179
4,3558,138
5,4156,166
6,2411,111
7,2515,113
8,181,49
9,69,50
10,135,56
1,887,39
2,1092,45
3,6078,204
4,1738,72
5,6884,223
6,544,49
7,736,67
8,1611,90
9,580,65
10,45,56
1,4630,147
2,4103,133
3,3546,121
4,2166,87
5,646,44
6,1943,84
7,4097,153
8,84,45
9,233,58
10,46,57
1,14099,444
2,6985,209
3,29757,878
4,2809,98
5,13110,401
6,174,36
7,467,49
8,1284,78
9,123,51
10,39,57
1,1023,41
2,5474,180
3,4313,137
4,12617,380
5,3719,135
6,3134,121
7,1305,78
8,903,70
9,107,51
10,86,60
1,693,28
2,3683,116
3,6267,202
4,3295,116
5,7576,245
6,5174,175
7,996,66
8,754,68
9,39,46
10,46,52
1,9526,315
2,7969,242
3,2435,88
4,5371,177
5,7468,235
6,1779,84
7,4541,195
8,793,73
9,59,50
10,48,53
1,4296,149
2,13098,390
3,3427,116
4,2202,82
5,1189,62
6,3397,126
7,1654,83
8,595,61
9,145,52
10,40,55
1,1739,65
2,3917,123
3,2751,98
4,2737,94
5,1871,81
6,544,50
7,226,42
8,1226,77
9,125,53
10,46,54
1,1386,49
2,10532,324
3,1108,49
4,3814,128
5,1690,73
6,366,43
7,1810,87
8,1907,96
9,56,50
10,62,51
1,1212,43
2,2374,82
3,3667,134
4,3958,133
5,5134,172
6,1007,59
7,2863,112
8,118,55
9,75,51
10,50,54
1,1641,52
2,2551,86
3,4633,145
4,907,43
5,2884,109
6,209,47
7,608,51
8,235,50
9,209,55
10,62,55
1,488,20
2,8077,248
3,3538,119
4,7665,235
5,916,52
6,622,46
7,2091,94
8,69,46
9,65,50
10,69,56
1,1344,51
2,17509,518
3,5269,158
4,317,31
5,6047,201
6,9431,301
7,1145,69
8,174,46
9,77,47
10,40,54
1,10412,333
2,4080,126
3,2021,73
4,3968,137
5,911,51
6,520,48
7,720,63
8,561,61
9,92,52
10,64,57
1,8759,289
2,2176,71
3,1411,58
4,650,38
5,1906,79
6,453,45
7,1784,89
8,1866,91
9,69,50
10,51,54
1,3501,112
2,1948,71
3,5739,181
4,8611,256
5,3139,113
6,4580,160
7,8909,283
8,169,47
9,409,57
10,96,52
1,6730,219
2,7079,238
3,3188,105
4,5228,162
5,1746,78
6,5622,184
7,3463,132
8,76,43
9,60,50
10,42,59
1,6202,192
2,11041,332
3,6312,189
4,750,45
5,536,43
6,5387,181
7,1316,77
8,325,53
9,75,47
10,122,55
1,5992,184
2,5416,175
3,3195,110
4,3669,124
5,6577,208
6,1506,73
7,750,55
8,240,48
9,77,49
10,113,58
1,464,22
2,5474,179
3,8111,250
4,4536,144
5,5412,198
6,328,40
7,677,54
8,163,48
9,68,48
10,29,59
1,4496,150
2,2255,85
3,2016,77
4,7978,248
5,1913,80
6,1868,81
7,1811,87
8,115,47
9,38,47
10,27,50
1,17376,530
2,12239,370
3,7067,207
4,3324,114
5,5328,172
6,531,49
7,8025,257
8,91,45
9,53,46
10,43,53
1,3195,105
2,7468,236
3,3778,119
4,2613,93
5,7015,221
6,873,59
7,248,44
8,615,63
9,130,51
10,40,55
1,4895,159
2,8524,254
3,3502,116
4,4815,156
5,284,35
6,271,40
7,129,39
8,1238,75
9,61,51
10,40,55
1,406,18
2,4490,144
3,2568,90
4,3505,117
5,5084,171
6,3678,137
7,5348,192
8,910,66
9,123,48
10,91,52
1,979,36
2,13792,422
3,20329,576
4,842,44
5,3253,112
6,1579,77
7,2765,118
8,915,66
9,107,52
10,365,64
1,8041,261
2,6452,189
3,2692,92
4,3574,120
5,1905,83
6,1395,70
7,1968,91
8,620,60
9,52,49
10,82,57
1,3597,111
2,3380,113
3,6065,189
4,2663,93
5,2138,84
6,1975,88
7,476,51
8,727,64
9,210,54
10,263,61
1,4785,140
2,3754,123
3,1170,50
4,3545,122
5,2673,100
6,3216,119
7,1314,76
8,408,53
9,478,58
10,125,57
1,1025,43
2,7916,249
3,1218,50
4,7664,234
5,536,44
6,2952,111
7,2516,109
8,245,50
9,41,48
10,66,54
1,2008,71
2,4033,136
3,3770,129
4,3097,111
5,1076,56
6,583,49
7,1339,78
8,288,52
9,51,47
10,50,54
1,3259,109
2,1730,62
3,12196,375
4,2754,97
5,3403,122
6,449,50
7,1677,86
8,316,50
9,35,49
10,83,57
1,5234,171
2,2791,94
3,3411,109
4,1621,68
5,4269,145
6,482,49
7,249,45
8,443,53
9,74,49
10,62,56
1,6870,228
2,3767,122
3,4026,135
4,1391,64
5,1674,71
6,1928,88
7,626,59
8,939,71
9,46,47
10,33,55
1,3661,124
2,1082,40
3,19355,555
4,3929,130
5,1835,77
6,3038,118
7,263,42
8,46,41
9,62,50
10,69,55
1,2514,81
2,1809,69
3,8152,252
4,3202,109
5,9185,283
6,705,49
7,8407,269
8,184,47
9,72,50
10,83,55
1,1260,43
2,4707,151
3,2039,74
4,3070,109
5,4733,157
6,558,52
7,673,53
8,1392,79
9,223,54
10,40,54
1,300,15
2,13673,409
3,5262,170
4,6072,192
5,1870,77
6,2352,96
7,1632,88
8,544,61
9,325,55
10,58,55
1,8555,269
2,880,38
3,12266,370
4,8424,255
5,1061,57
6,179,36
7,3060,119
8,961,71
9,60,49
10,63,54
1,4433,146
2,7126,216
3,1024,44
4,1145,55
5,2452,93
6,6407,214
7,2694,111
8,144,44
9,79,47
10,82,55
1,2322,78
2,1852,67
3,5518,177
4,9407,282
5,6085,198
6,1574,80
7,1766,85
8,289,50
9,75,50
10,65,57
1,1557,50
2,27077,800
3,5105,158
4,3264,113
5,5689,186
6,1583,99
7,3202,122
8,149,48
9,72,50
10,36,52
1,1970,69
2,2783,98
3,6372,196
4,3748,127
5,1120,57
6,481,45
7,591,55
8,1471,85
9,75,50
10,65,55
1,18002,542
2,2015,68
3,9409,293
4,1706,67
5,5908,186
6,465,46
7,243,44
8,973,71
9,60,49
10,56,54
1,923,36
2,3299,103
3,3059,102
4,3809,128
5,6892,216
6,345,41
7,2093,93
8,83,44
9,38,49
10,71,56
1,8025,238
2,4956,149
3,453,29
4,1223,57
5,2890,114
6,560,46
7,436,50
8,2105,102
9,54,46
10,45,55
1,2558,91
2,2235,78
3,8722,264
4,2617,98
5,796,54
6,3210,122
7,2003,94
8,229,47
9,132,49
10,55,55
1,3530,115
2,8100,253
3,2604,88
4,1338,55
5,11120,326
6,652,50
7,2356,99
8,188,45
9,32,56
10,97,66
1,1958,69
2,4571,150
3,1235,53
4,3127,103
5,9197,292
6,1662,76
7,11891,361
8,1169,72
9,34,46
10,46,51
1,6553,210
2,8985,268
3,6982,213
4,1326,60
5,1721,74
6,1101,59
7,2228,99
8,187,47
9,31,45
10,39,55
1,1981,74
2,2281,79
3,784,39
4,5601,181
5,3308,124
6,1877,80
7,472,56
8,222,57
9,42,48
10,44,52
1,4612,151
2,3239,109
3,4744,148
4,2261,87
5,4281,147
6,478,43
7,222,44
8,228,50
9,127,50
10,72,60
1,2037,71
2,1804,67
3,1453,56
4,1314,60
5,2274,96
6,3045,116
7,1092,70
8,404,53
9,47,47
10,102,57
1,5873,189
2,2168,73
3,4949,153
4,3224,117
5,4731,163
6,601,49
7,1318,72
8,509,56
9,60,53
10,29,58
1,2597,87
2,18738,600
3,5810,183
4,2674,103
5,4664,165
6,1558,77
7,449,48
8,396,51
9,75,51
10,30,58
1,1207,45
2,9278,285
3,2200,77
4,2503,90
5,6195,202
6,146,34
7,707,55
8,977,70
9,181,52
10,80,59
1,3152,106
2,2075,75
3,5059,162
4,2555,95
5,1751,79
6,618,53
7,358,45
8,985,69
9,130,53
10,47,53
1,1464,50
2,5997,191
3,5407,172
4,2846,102
5,303,36
6,1462,73
7,750,56
8,1477,83
9,51,50
10,51,54
1,2013,68
2,4335,141
3,1184,53
4,2454,92
5,5692,187
6,750,63
7,1301,71
8,114,44
9,96,50
10,73,56
1,7035,215
2,2678,89
3,4174,132
4,2793,102
5,9391,290
6,3149,119
7,163,41
8,166,46
9,66,49
10,100,56
1,2081,69
2,1802,64
3,28767,817
4,2100,79
5,4818,161
6,5417,178
7,880,62
8,250,50
9,56,49
10,32,53
1,1075,38
2,3922,139
3,11388,336
4,5919,206
5,439,39
6,511,45
7,3170,124
8,709,61
9,132,51
10,72,51
1,6691,213
2,13176,382
3,5370,167
4,797,48
5,2373,100
6,785,52
7,1398,75
8,192,50
9,63,50
10,57,52
1,2204,76
2,3458,115
3,6193,200
4,6034,182
5,10332,311
6,767,52
7,896,62
8,152,44
9,344,55
10,54,55
1,1587,54
2,1520,56
3,598,38
4,9765,306
5,4034,132
6,4174,146
7,378,49
8,94,44
9,60,46
10,32,50
1,11467,347
2,4561,140
3,16666,488
4,6642,197
5,6352,204
6,518,49
7,1196,71
8,888,64
9,36,46
10,127,58
1,9215,288
2,1625,59
3,20294,579
4,1943,72
5,1785,72
6,505,45
7,726,59
8,642,61
9,123,50
10,75,53
1,4234,145
2,13540,411
3,2161,78
4,4472,143
5,635,50
6,1733,83
7,394,50
8,69,60
9,85,62
10,46,60
1,3084,98
2,1819,67
3,4465,142
4,1841,78
5,3538,129
6,294,42
7,1810,90
8,466,56
9,116,53
10,66,63
1,22815,700
2,3995,126
3,19603,581
4,3388,117
5,1950,79
6,3740,140
7,2283,100
8,598,61
9,62,48
10,88,54
1,9009,282
2,6255,192
3,1135,50
4,2281,92
5,2305,90
6,1674,81
7,1363,73
8,271,49
9,112,53
10,37,56
1,770,30
2,555,28
3,4645,154
4,1523,64
5,3058,111
6,1973,90
7,2700,119
8,398,54
9,31,50
10,71,54
1,6289,197
2,2284,81
3,2170,80
4,3034,109
5,5664,180
6,1453,74
7,478,52
8,338,52
9,83,47
10,141,58
1,6546,213
2,8678,263
3,3427,113
4,3148,110
5,3281,121
6,1505,70
7,266,49
8,243,51
9,519,62
10,50,52
1,2117,73
2,787,36
3,967,42
4,2042,82
5,6355,198
6,2359,99
7,612,55
8,88,43
9,102,50
10,40,55
1,1144,39
2,3941,128
3,1605,65
4,1173,52
5,651,43
6,974,57
7,1147,72
8,367,52
9,71,47
10,89,55
1,2356,83
2,1684,67
3,8919,263
4,837,43
5,5770,180
6,1543,77
7,4776,173
8,138,47
9,37,48
10,54,51
1,1500,51
2,1852,64
3,504,32
4,3503,125
5,191,33
6,1891,87
7,2276,98
8,275,51
9,134,52
10,44,58
1,1378,50
2,2461,89
3,1603,63
4,6098,197
5,1643,74
6,2316,98
7,1786,88
8,601,63
9,145,51
10,138,57
1,1901,61
2,5128,167
3,1433,59
4,1799,70
5,4535,153
6,1469,78
7,1326,77
8,741,69
9,124,55
10,66,56
1,5862,183
2,6627,213
3,8045,252
4,2762,100
5,1740,73
6,1580,80
7,2430,114
8,510,59
9,64,54
10,64,61
